PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Yang, JJ; Tan, WJ; Han, JR; Li, FM; Zhang, F				Yang, Jianjun; Tan, Weijun; Han, Jingren; Li, Feng-Min; Zhang, Feng			Distribution pattern of rainwater in soil under vertical deep rotary tillage in dryland farmland	AGRICULTURAL WATER MANAGEMENT												In semi-arid areas, drought is the main limiting factor for rainfed agriculture. Vertical rotary subsoiling (VRT) has been shown to effectively increase soil water storage and so allow crops to resist seasonal drought. However, there is a lack of reports on the infiltration path and distribution pattern of rainwater in soil under VRT practice. The present study used simulated rainfall and visualized the soil profile water distribution and path of VRT, subsoiling tillage (SS) and conventional tillage (CT) practices. Twenty-four hours after applying simulated rain, vertical soil profiles were photographed and staining features used to indicate the infiltration path and distribution of rainwater in the soil. Our results showed that when rainwater infiltrated into the soil, matrix and preferential flows occurred concomitantly under VRT practice, and mainly matrix flow for SS and CT practices. The VRT increased water infiltration into the soil, occurrence of preferential flow and water storage in the soil profile, while the soil of SS and CT somewhat hindered the infiltration of water. The VRT decreased soil bulk density (BD) by 9.2-10.3 % and increased soil saturated hydraulic conductivity (K-s) by 50.4-70.4 % compared with SS and CT. Moreover, VRT significantly increased potato tuber yield by 22.9-36.0 % compared with SS and CT in two consecutive years. Structural equation modeling (SEM) further revealed that VRT increased potato yield was mainly caused by decreasing BD and increasing K-s, and then increasing water storage in the soil profile. These findings suggest that decreased BD and increased K-s in VRT practice could be particularly important for infiltration, sustaining and supplying of soil water in rainfed areas worldwide, which is important for production practices in these areas.					Li, Feng-Min/K-8740-2012	Li, Feng-Min/0000-0002-2144-3498													0378-3774	1873-2283				NOV 1	2022	273								107891	10.1016/j.agwat.2022.107891	http://dx.doi.org/10.1016/j.agwat.2022.107891		AUG 2022											WOS:000861238500001
J	Lorite, J; Agea, D; García-Robles, H; Cañadas, EM; Rams, S; Sánchez-Castillo, P				Lorite, Juan; Agea, Daniel; Garcia-Robles, Helena; Canadas, Eva M.; Rams, Susana; Sanchez-Castillo, Pedro			Plant recovery techniques do not ensure biological soil-crust recovery after gypsum quarrying: a call for active restoration	RESTORATION ECOLOGY												Biological soil crusts (biocrusts) are a key component of dryland ecosystems worldwide. However, large extensions of biocrusts are disturbed by human activities, gypsum quarry being an outstanding example. Restoration techniques applied have offered satisfactory results for vascular plants but they could greatly differ in promoting biocrust recovery. A basic question remains unaddressed: can measures for plant recovery accelerate or promote the recovery of biological crusts? We have examined eight different situations: undisturbed natural habitat, five treatments with no restoration measures (overgrazed area, abandoned quarry, topsoil removal from natural habitat, and two areas filled with gypsum mining spoil), and 2 areas receiving restoration measures (manual sowing and hydroseeding). We took 40 soil cores to determine cover of lichen, moss, and cyanobacteria. Biocrust richness and cover were higher in the undisturbed habitat, with remarkable differences for the different components among treatments. Cyanobacteria were well represented in all the cores (restored and non-restored). Mosses were promoted the most by hydroseeding. Lichen cover was remarkably higher in undisturbed samples, very low in the quarry abandoned in 1992, and 0 in the rest. Complete spontaneous recovery of biocrusts was inefficient in the 25-year period examined. Plant restoration measures could speed up its recovery comparing with non-restored areas. Cyanobacteria and mosses can spontaneously recover fairly well. However, promoting them would accelerate the appearance of lichen. For lichen, inoculation or translocation of lichen thalli might be proposed. Therefore, our results call for the inclusion of active restoration measures of biocrust components in recovery plans, especially for lichens.					Cañadas, Eva M./A-8928-2011; García-Robles, Helena/AAV-2895-2021; Lorite, Juan/F-4690-2011; Rams, Susana/K-2424-2014; Rams, Susana/AAH-9459-2019	Cañadas, Eva M./0000-0003-1348-553X; García-Robles, Helena/0000-0002-2593-6871; Lorite, Juan/0000-0003-4617-8069; Rams, Susana/0000-0002-6508-0860; Rams, Susana/0000-0002-6508-0860													1061-2971	1526-100X				AUG	2020	28			2	SI		S86	S95		10.1111/rec.13059	http://dx.doi.org/10.1111/rec.13059		NOV 2019											WOS:000495331700001
J	Sedri, MH; Niedbala, G; Roohi, E; Niazian, M; Szulc, P; Rahmani, HA; Feiziasl, V				Sedri, Mohammad Hossein; Niedbala, Gniewko; Roohi, Ebrahim; Niazian, Mohsen; Szulc, Piotr; Rahmani, Hadi Asadi; Feiziasl, Vali			Comparative Analysis of Plant Growth-Promoting Rhizobacteria (PGPR) and Chemical Fertilizers on Quantitative and Qualitative Characteristics of Rainfed Wheat	AGRONOMY-BASEL												The indiscriminate use of hazardous chemical fertilizers can be reduced by applying eco-friendly smart farming technologies, such as biofertilizers. The effects of five different types of plant growth-promoting rhizobacteria (PGPR), including Fla-wheat (F), Barvar-2 (B), Nitroxin (N1), Nitrokara (N2), and SWRI, and their integration with chemical fertilizers (50% and/or 100% need-based N, P, and Zn) on the quantitative and qualitative traits of a rainfed wheat cultivar were investigated. Field experiments, in the form of randomized complete block design (RCBD) with four replications, were conducted at the Qamloo Dryland Agricultural Research Station in Kurdistan Province, Iran, in three cropping seasons (2016-2017, 2017-2018, and 2018-2019). All the investigated characteristics of rainfed wheat were significantly affected by the integrated application of PGPR chemical fertilizers. The grain yield of treated plants with F, B, N1, and N2 PGPR plus 50% of need-based chemical fertilizers was increased by 28%, 28%, 37%, and 33%, respectively, compared with the noninoculated control. Compared with the noninoculated control, the grain protein content was increased by 0.54%, 0.88%, and 0.34% through the integrated application of F, N1, and N2 PGPR plus 50% of need-based chemical fertilizers, respectively. A combination of Nitroxin PGPR and 100% of need-based chemical fertilizers was the best treatment to increase the grain yield (56%) and grain protein content (1%) of the Azar-2 rainfed wheat cultivar. The results of this 3-year field study showed that the integrated nutrient management of PGPR-need-based N, P, and Zn chemical fertilizers can be considered a crop management tactic to increase the yield and quality of rainfed wheat and reduce chemical fertilization and subsequent environmental pollution and could be useful in terms of sustainable rainfed crop production.					Niazian, Mohsen/AAF-4504-2019; Niedbała, Gniewko/GQB-0107-2022; Niedbała, Gniewko/ABG-0367-2022; Feiziasl, Vali/S-2251-2016	Niazian, Mohsen/0000-0002-7032-4938; Niedbała, Gniewko/0000-0003-3721-6473; Niedbała, Gniewko/0000-0003-3721-6473; Feiziasl, Vali/0000-0002-7220-4649; Szulc, Piotr/0000-0002-9670-3231														2073-4395				JUL	2022	12	7							1524	10.3390/agronomy12071524	http://dx.doi.org/10.3390/agronomy12071524													WOS:000832261300001
J	Nordblom, TL; Hutchings, TR; Godfrey, SS; Schefe, CR				Nordblom, Thomas L.; Hutchings, Timothy R.; Godfrey, Sosheel S.; Schefe, Cassandra R.			Precision variable rate nitrogen for dryland farming on waterlogging Riverine Plains of Southeast Australia?	AGRICULTURAL SYSTEMS												Precision agriculture, using satellite navigation, has grown in popularity around the world. Because of its practical uses for land preparation, sowing, nutrient applications, pest (weed, pathogen, invertebrate) management, stress sensing and harvest recording, many major equipment manufacturers include precision variable rate capability as standard fittings. GIS (Geographic Information System) maps may include georeferenced soil chemistry information and detailed historical harvest yield data. We integrate such data to examine Precision Variable Rate Nitrogen (PVRN) applications with whole-farm management information and rainfall records in a district where waterlogging frequently reduces crop yields. Given wide variations in growing season rainfalls (GSR) and soils in the district, we test year-to-year stability of rainfed crop-yield rankings over time on 90x90m GIS grid-areas in large paddocks (over 100 ha). Variations in historical yield-quartile rankings of grid-areas across GSR levels over time are observed; some areas yield best at some GSR levels but not others, such that the best-yielding part of a paddock one year may be poorest in the next. We answer the question: "Why would a farmer in this district choose to apply a uniform moderate rate of N to a paddock at sowing even though in possession of precision variable rate-capable (PVR) equipment, georeferenced electromagnetic conductance (EM38) data and crop-yield map data for that paddock in many past seasons?" We show that soil conditions in the study district challenge the economic value of PVRN versus uniform rates in farming systems prone to waterlogging. If full-season GSR were reliably predictable early in the season, applications of N could be based on a rule calling for 40 kg/ha N/t of attainable yield at that GSR and grid-area EM38 level, minus sampled soil-N. Unfortunately, GSR is notoriously unpredictable. We simulate whole-farm financial risk profiles (CDFs of simulated decadal cash margins with varying prices and yields, minus all variable, fixed and capital costs) assuming moderate uniform N rates, as practiced in the study area, on two model farms; one with low and one with high-fixed-costs, given historical variations in GSR and prices. Assuming PVRN requires annual geo-referenced soil nutrient sampling of each hectare, these added costs could be covered by a 1% increase in yields across all wheat and canola crops or a 7% decrease in applied N. We cannot reject the null hypothesis that PVRN is no more profitable than uniform applications in this district. Near-real-time NDVI may lower the cost of PVRN for late applications.					Nordblom, Thomas L/B-8545-2011; Godfrey, Sosheel/ABA-8789-2020	Nordblom, Thomas/0000-0002-9892-5102; Schefe, Cassandra/0000-0002-7898-6741; Godfrey, Sosheel/0000-0001-5705-8201													0308-521X	1873-2267				JAN	2021	186								102962	10.1016/j.agsy.2020.102962	http://dx.doi.org/10.1016/j.agsy.2020.102962													WOS:000595351000002
J	Schreiner-McGraw, AP; Vivoni, ER; Ajami, H; Sala, OE; Throop, HL; Peters, DPC				Schreiner-McGraw, Adam P.; Vivoni, Enrique R.; Ajami, Hoori; Sala, Osvaldo E.; Throop, Heather L.; Peters, Debra P. C.			Woody Plant Encroachment has a Larger Impact than Climate Change on Dryland Water Budgets	SCIENTIFIC REPORTS												Woody plant encroachment (WPE) into grasslands is a global phenomenon that is associated with land degradation via xerification, which replaces grasses with shrubs and bare soil patches. It remains uncertain how the global processes of WPE and climate change may combine to impact water availability for ecosystems. Using a process-based model constrained by watershed observations, our results suggest that both xerification and climate change augment groundwater recharge by increasing channel transmission losses at the expense of plant available water. Conversion from grasslands to shrublands without creating additional bare soil, however, reduces transmission losses. Model simulations considering both WPE and climate change are used to assess their relative roles in a late 21st century condition. Results indicate that changes in focused channel recharge are determined primarily by the WPE pathway. As a result, WPE should be given consideration when assessing the vulnerability of groundwater aquifers to climate change.					Vivoni, Enrique/E-1202-2012; Throop, Heather L./D-6391-2012	Vivoni, Enrique/0000-0002-2659-9459; Throop, Heather L./0000-0002-7963-4342; Sala, Osvaldo/0000-0003-0142-9450; Schreiner-McGraw, Adam/0000-0003-3424-9202; Peters, Debra/0000-0002-5842-8099													2045-2322					MAY 15	2020	10	1							8112	10.1038/s41598-020-65094-x	http://dx.doi.org/10.1038/s41598-020-65094-x								32415221					WOS:000547841300001
J	Karimi, SS; Saintilan, N; Wen, L; Cox, J				Karimi, Sara Shaeri; Saintilan, Neil; Wen, Li; Cox, Jonathan			Spatio-temporal effects of inundation and climate on vegetation greenness dynamics in dryland floodplains	ECOHYDROLOGY												Monitoring floodplain vegetation response to water availability is essential for sustainable water resource management. However, the interpretation of these responses through space and time has been challenging due to the limitation of satellite-derived inundation extent, which is restricted by the return period of imagery and prevalence of clouds affected images during high flow events. We address this issue by utilising a predictive inundation model capable of reporting inundation at daily temporal resolution. Spatio-temporal patterns in vegetation greenness of four floodplain vegetation communities (Eucalyptus camaldulensis, Eucalyptus largiflorens, Eucalyptus coolabah and Duma florulenta) were quantified using Landsat-derived vegetation index and a combination of time series of floodplain inundation pattern, rainfall and soil moisture for the years 1989-2016. The results show that vegetation dynamics were highly variable between years and are closely associated with irregular rainfall patterns and overbank flooding. Linear mixed-effect models explained between 38% and 67% of the variability in vegetation productivity, with all involved variables being significant predictors (p < 0.05). The effects of rainfall, soil moisture and inundation were diverse and depended on vegetation type. Higher inundation frequency and low interflood period often corresponded to lower vegetation responses, which may relate to a mixed surface water and vegetation signal, or a short-term inhibitive effect of surface water on growth. These results highlight the importance of groundwater and lagged effects of rainfall and flow in explaining patterns of vegetation condition in semi-arid floodplains and should be considered in the design of environmental water monitoring programmes.					Shaeri Karimi, Sara/AGR-6847-2022	Shaeri Karimi, Sara/0000-0002-6107-3372; WEN, LI/0000-0003-3783-3826; Saintilan, Neil/0000-0001-9226-2005													1936-0584	1936-0592				MAR	2022	15	2							e2378	10.1002/eco.2378	http://dx.doi.org/10.1002/eco.2378		NOV 2021											WOS:000716910600001
J	Zhan, TY; Zhang, ZC; Sun, J; Liu, M; Zhang, XB; Peng, F; Tsunekawa, A; Zhou, HK; Gou, XW; Fu, S				Zhan, Tianyu; Zhang, Zhenchao; Sun, Jian; Liu, Miao; Zhang, Xubo; Peng, Fei; Tsunekawa, Atsushi; Zhou, Huakun; Gou, Xiaowei; Fu, Shun			Meta-analysis demonstrating that moderate grazing can improve the soil quality across China's grassland ecosystems	APPLIED SOIL ECOLOGY												Although numerous studies have demonstrated that grazing significantly affects soil nutrients, plant biomass and soil microbial activities in grassland ecosystem, the responses of the relationships of soil nutrients with plant biomass and soil microbial activities to grazing intensities at a large scale are still unknown. Here, we conducted a meta-analysis across China's grasslands to address these questions. Our results suggested that different grazing intensities (low grazing (LG), medium grazing (MG) and high grazing (HG)) were closely related to plant biomass, soil physicochemical properties, soil microbial and enzyme activities. Specifically, MG significantly increased below-ground biomass (BGB). HG apparently decreased soil microbial activities, soil organic carbon (SOC) and total nitrogen (TN), while LG showed the opposite results. The grazing-induced changes in plant biomass, soil microbial biomass carbon and nitrogen might be the main underlying drivers that control the responses of SOC and TN to grazing intensities. The findings highlighted that LG was suitable for the sustainable development of China's grasslands and even worldwide dryland management.					Peng, Fei/AAO-8461-2020; XIAOWEI, GOU/ABG-8277-2020; Sun, Jian/I-9740-2016; Tsunekawa, Atsushi/L-8526-2013; li, xiang/JCN-9316-2023	Peng, Fei/0000-0002-5816-4898; XIAOWEI, GOU/0000-0002-0615-302X; Sun, Jian/0000-0001-8765-5015; Tsunekawa, Atsushi/0000-0002-7690-0633; 													0929-1393	1873-0272				MAR	2020	147								103438	10.1016/j.apsoil.2019.103438	http://dx.doi.org/10.1016/j.apsoil.2019.103438													WOS:000505575100053
J	Yang, B; Gong, JR; Zhang, ZH; Li, XB; Wang, B; Zhu, CC; Shi, JY; Zhang, WY; Yue, KX				Yang, Bo; Gong, Jirui; Zhang, Zihe; Li, Xiaobing; Wang, Biao; Zhu, Chenchen; Shi, Jiayu; Zhang, Weiyuan; Yue, Kexin			Spatial variation of carbon turnover time and carbon uptake in a Chinese desert steppe ecosystem	ECOLOGICAL INDICATORS												Quantifying the carbon dynamics in arid and semi-arid ecosystems is a key issue in determining the global carbon budget. Carbon turnover time (CTT) and carbon uptake are the key indicators that determine the C dynamics and the potential C sequestration, but it has not been well quantified in a specific ecosystem. Our study combined a field inventory in a desert steppe ecosystem with data synthesis and the Terrestrial Ecosystem Regional model (TECO-R) for desert steppes to invert the key parameters of the ecosystem's carbon cycle. The average CTT in the leaf, root, and soil carbon pools (to a depth of 50 cm) and for the whole ecosystem was 1.43, 10.1, 76.96, and 37.65 years, respectively. The study area's net primary productivity (NPP) averaged 131.93 g C M-2 yr(-1) from 2000 to 2018 based on the Carnegie-Ames-Stanford approach, and the ecosystem C uptake averaged 28.86 g C M-2 yr(-1), driven by an increasing NPP trend. The whole-ecosystem CTT (CTTE) increased significantly, by about 6 years per 25-mm increase in precipitation, 0.45 degrees increase in latitude, 1000-g increase in SOC, and 50-g C m(-2) yr(-1) increase in NPP. The threshold temperature for CTT in the desert steppe was around 6 degrees C. CTTE was significantly negatively correlated with temperature above this temperature, but below this value is the opposite. However, the pattern of ecosystem potential C uptake was affected by climate, NPP, and the intensity of human activities, with no clearly dominant factor. These analyses of the desert steppe's carbon cycle will help to improve the assessment of dryland carbon dynamics and global carbon budgets.					Zhang, Zihe/ACS-1947-2022; li, xiao/GSN-6181-2022; li, xiaofeng/GXF-9442-2022; li, xiao/HJP-5134-2023; liang, liang/IAO-8518-2023	Zhang, Zihe/0000-0001-6571-0159; gong, ji rui/0000-0003-2012-2606; Yang, Bo/0000-0002-9640-9411													1470-160X	1872-7034				MAY	2020	112								106120	10.1016/j.ecolind.2020.106120	http://dx.doi.org/10.1016/j.ecolind.2020.106120													WOS:000518385800081
J	Zhang, XY; Wang, ZZ; Li, YZ; Guo, R; Liu, EK; Liu, XY; Gu, FX; Yang, ZG; Li, SY; Zhong, XL; Mei, XR				Zhang, Xinying; Wang, Zhenzhao; Li, Yuzhong; Guo, Rui; Liu, Enke; Liu, Xiaoying; Gu, Fengxue; Yang, Ziguang; Li, Shuying; Zhong, Xiuli; Mei, Xurong			Wheat genotypes with higher yield sensitivity to drought overproduced proline and lost minor biomass under severer water stress	FRONTIERS IN PLANT SCIENCE												To clarify the differences in growth and yield responses to drought stress among genotypes contrasting in environmental background, dryland and irrigated genotypes, as well as the underlying biochemical mechanism would provide valuable information for developing superior dryland cultivars. Pot experiments for the whole life cycle in fifteen genotypes and comparative metabolomics analysis for seedlings between two drought tolerant (DT) dryland genotypes and two drought sensitive (DS) irrigated ones were carried out. The DT dryland genotypes suffered heavy biomass loss during severer drought but showed minor yield loss ultimately, while the DS irrigated ones showed minor biomass loss but greater yield loss. Additionally, the superior DT dryland genotypes showed better yield performance under both drought stress and well-watered conditions, indicating their possessing both drought tolerance and high yield potential traits. Suffering severer drought stress, seedling leaves of the DS irrigated genotypes increased some amino acids and organic acids to maintain cell metabolism and accumulate more biomass. Proline in particular was overproduced, which might cause toxicity to cell systems and lead to enormous yield loss ultimately. In contrast, DT dryland genotypes increased the beneficial amino acid and phenolic acids to enhance cell self-protection for alleviating drought damage and efficiently minimized yield loss ultimately.					WANG, HUIYUAN/IXX-2427-2023; Yang, Mei/JNS-2225-2023														1664-462X					NOV 29	2022	13								1035038	10.3389/fpls.2022.1035038	http://dx.doi.org/10.3389/fpls.2022.1035038								36531356					WOS:000898057400001
J	Du, YL; Xi, Y; Cui, T; Anten, NP; Weiner, J; Li, XM; Turner, NC; Zhao, YM; Li, FM				Du, Yan-Lei; Xi, Yue; Cui, Ting; Anten, Niels Pr; Weiner, Jacob; Li, Xinmao; Turner, Neil C.; Zhao, Yi-Min; Li, Feng-Min			Yield components, reproductive allometry and the tradeoff between grain yield and yield stability in dryland spring wheat	FIELD CROPS RESEARCH												Yield improvement for smallholder farmers in developing countries via crop breeding has been slow, in part because breeders have focused primarily on higher yields rather than stability of yield across environments. We investigated the relationships between (i) grain yield and yield-component traits, (ii) grain yield and yield stability, and (iii) reproductive (R) and vegetative (V) biomass in a field experiment with 18 spring wheat genotypes varying from landraces to recently-released breeding lines in a semiarid region under three different levels of precipitation. Genotypic differences in grain yield varied with the environment. The relationship between grain yield and yield components was also dependent on the environment, making it difficult to identify early-screening parameters for use in breeding programs. A genotype main effects and genotype by environment interaction effect analysis (GGE) showed a negative relationship between mean grain yield and yield stability across environments. There were significant differences among genotypes in the allometric exponent of the R-V relationship (slope of the log R - log V relationship). For the three highest yielding but less stable genotypes, this slope value was 1, while the five lowest yielding, but more stable genotypes, it was < 1. We hypothesize that the tradeoff between grain yield and yield stability reported here is biologically constrained and cannot be eliminated through breeding. Therefore, a balance between yield stability and high yield should be considered in future wheat breeding programs for smallholder farmers, rather than attempting to improve both.					Turner, Neil Clifford/B-2689-2010; Wang, Chao/JHT-6081-2023; Weiner, Jacob/E-1839-2011; Li, Feng-Min/K-8740-2012; DU, YAN/HZI-1091-2023	Turner, Neil Clifford/0000-0002-2982-0411; Weiner, Jacob/0000-0002-0736-7943; Li, Feng-Min/0000-0002-2144-3498; Anten, Niels/0000-0002-9097-0654													0378-4290	1872-6852				OCT 15	2020	257								107930	10.1016/j.fcr.2020.107930	http://dx.doi.org/10.1016/j.fcr.2020.107930													WOS:000571452700005
